,timestep,positions,velocities,fuel,rewards,actions
0,0,0.027506911167425936,0.5501382233485187,0.4950719698842177,-5.943912321714858,0.9856060231564556
1,1,0.0794265184806005,1.0383921462634915,0.49045941666520093,-5.771599369449875,0.9225106438033525
2,2,0.15712645943679138,1.5539988191238172,0.48573300912073897,-5.7364306716170965,0.9452815088923976
3,3,0.2609205838349941,2.0758824879640545,0.4810404455376096,-5.61988553543347,0.9385127166258668
4,4,0.39170075259039683,2.615603375108054,0.476477632235257,-5.441069856694625,0.9125626604705142
5,5,0.5565823052985146,3.297631054162356,0.4722288088357265,-5.165517705917422,0.8497646799061115
6,6,0.7795711147727414,4.459776189484536,0.468042919250049,-4.9212957501666015,0.8371779171355055
7,7,1.0678500199064482,5.765578102674137,0.46378376645127667,-4.657765282625149,0.8518305597544604
8,8,1.40383013709285,6.719602343728038,0.4612638925992616,-3.8501604321099223,0.5039747704030159
9,9,1.7816353298443648,7.556103855030296,0.4576052600948708,-3.753788342243026,0.7317265008781567
10,10,2.151379046068544,7.394874324483585,0.45596271222417073,-2.9565394942331067,0.32850957414001
11,11,2.4928678465087257,6.8297760088036314,0.4556827777296701,-2.5102666863397274,-0.05598689890012928
12,12,2.7934722753165144,6.012088576155771,0.4541142585315364,-2.3049378236800413,-0.31370383962673415
13,13,3.0535620531916847,5.201795557503407,0.4511485520111446,-2.298254553412098,-0.5931413040783644
14,14,3.2997299055908087,4.923357047982481,0.4478731565633415,-2.1293987079887766,-0.655079089560631
15,15,3.5269425639882725,4.544253167949275,0.44398105681766786,-2.0789950532226276,-0.77841994913472
16,16,3.7401274786985677,4.2636982942058985,0.44070919240785944,-1.688076389948277,-0.6543728819616874
17,17,3.9252988744082784,3.703427914194216,0.4368699040415314,-1.6643065319845955,-0.7678576732656085
18,18,4.09003795403609,3.29478159255622,0.4350891297795632,-1.0368083248474504,-0.35615485239364675
19,19,4.21692609647677,2.5377628488136046,0.4318306115531422,-1.20779154479996,-0.6517036452842118
20,20,4.319798016643023,2.0574384033250683,0.42902876134321805,-0.9942165673110535,-0.5603700419848271
21,21,4.414654102375691,1.8971217146533483,0.42680296219307406,-0.7835131718955732,-0.44515983002879306
22,22,4.499412055104966,1.6951590545855053,0.4239053374662953,-0.8364371071846255,-0.5795249453557558
23,23,4.567264605253907,1.3570510029788256,0.4201899515677526,-0.9848990897496851,-0.7430771797085363
24,24,4.64207120617758,1.4961320184734648,0.4186621378002814,-0.45129739014539705,-0.3055627534942331
25,25,4.70337057037341,1.2259872839165953,0.41517031233167506,-0.7843432337548993,-0.6983650937212639
26,26,4.753541938598055,1.0034273644928846,0.4118872782874342,-0.6775905628277208,-0.6566068088481686
27,27,4.791866798549581,0.7664971990305257,0.4085307070751051,-0.6587960135878921,-0.6713142424658313
28,28,4.823794529271009,0.638554614428564,0.40568193849834533,-0.5008247668863399,-0.5697537153519481
29,29,4.847564881268396,0.4754070399477527,0.40266877531696343,-0.5156012130370248,-0.6026326362763811
30,30,4.861652320392397,0.281748782480028,0.39951499895280607,-0.5361998938123113,-0.6307552728314751
31,31,4.874661665441906,0.26018690099017033,0.3971635572058318,-0.3465094661346343,-0.470288349394858
32,32,4.889489766282296,0.29656201680780103,0.39508363608184094,-0.28355310899863767,-0.4159842247981686
33,33,4.89993683141423,0.2089413026386897,0.3924316669622885,-0.38138077702816575,-0.5303938239104938
34,34,4.896154922416968,-0.07563817994524474,0.38887248006122965,-0.610557533449775,-0.7118373802117608
35,35,4.9195583052836085,0.46806765733280825,0.3886016011017335,-0.0833767111443012,0.05417579189923937
36,36,4.928664445954363,0.18212281341508046,0.38504901810362896,-0.5761693923824887,-0.7105165996209035
37,37,4.930826650212184,0.04324408515643818,0.3821761086823292,-0.39931769150753266,-0.574581884259952
38,38,4.926783582568632,-0.08086135287104615,0.3793745220795408,-0.3871719171483106,-0.5603173205576841
39,39,4.916717566269949,-0.2013203259736579,0.376593471233279,-0.39265218610978586,-0.5562101692523567
40,40,4.917028629206047,0.0062212587219557525,0.3753172491001693,-0.14812108811551666,-0.25524442662194236
41,41,4.914433698295106,-0.051898618218833854,0.3728310742777359,-0.3328089116129624,-0.4972349644866785
42,42,4.901432788352582,-0.26001819885047656,0.369664987204378,-0.49953150589077433,-0.6332174146715774
43,43,4.883325544604992,-0.3621448749517999,0.36698539883728476,-0.4038822080774659,-0.5359176734186495
44,44,4.87505449149949,-0.16542106211003335,0.36566835515383744,-0.19432967106484936,-0.2634087366894648
45,45,4.863799702376437,-0.22509578246106482,0.3631925081730893,-0.3813930285067532,-0.49516939614963124
46,46,4.863951244957718,0.0030308516256192797,0.36202530704502817,-0.1905430939761686,-0.23344022561222572
47,47,4.88867003970288,0.4943758949032387,0.36199368527990083,-0.11136995773831032,0.006324353025465193
48,48,4.906715297666725,0.3609051592768965,0.3592007467042946,-0.40530493781764776,-0.5585877151212448
49,49,4.91861145690626,0.2379231847906977,0.3564574803397081,-0.38240895697660454,-0.5486532729172992
50,50,4.926400659109826,0.15578404407133004,0.3539009603392038,-0.33503112140930214,-0.5113040001008485
51,51,4.930578265187148,0.08355212154644516,0.3513920083633467,-0.32121533549914066,-0.5017903951714192
