,timestep,positions,velocities,fuel,rewards,actions
0,0,0.024330704765229583,0.48661409530459165,0.49538757356919233,-5.826648398419297,0.9224852861615337
1,1,0.07026049333909393,0.918595771477287,0.4910534928047386,-5.681109749573221,0.8668161528907471
2,2,0.1348304982775235,1.2914000987685914,0.4870289636026853,-5.513042913649647,0.8049058404106474
3,3,0.21992509441353408,1.7018919227202114,0.482863226436315,-5.474209551157626,0.8331474332740634
4,4,0.319939758680563,2.000293285340578,0.4793755570824682,-5.166613742189929,0.6975338707693641
5,5,0.4379408285232844,2.3600213968544286,0.47598595235712443,-5.021635979239627,0.6779209450687532
6,6,0.5779871364205645,2.8009261579456015,0.4736783302464255,-4.635017655810895,0.46152442213978245
7,7,0.753692071206358,3.5140986957158686,0.4718420500335632,-4.3811849295996295,0.3672560425724646
8,8,0.973704128909715,4.400241154067141,0.4696163848161502,-4.224439297490369,0.4451330434826013
9,9,1.2320418132579984,5.166753686965668,0.46804138785422184,-3.8671828039453424,0.3149993923856691
10,10,1.5230968128548221,5.821099991936472,0.4668294338623432,-3.5356564862824,0.24239079837572752
11,11,1.8098170700409666,5.7344051437228885,0.4654241571973702,-3.269175030163743,0.2810553329946066
12,12,2.0753124331130888,5.309907261442439,0.46507893064150563,-2.9294548218818757,0.06904531117291196
13,13,2.321677051423431,4.92729236620685,0.46450536034085566,-2.6914822641680773,0.11471406012999594
14,14,2.545496608914272,4.476391149816818,0.4642821853249747,-2.456495674594266,0.04463500317618383
15,15,2.7433625721296977,3.957319264308515,0.4640869153841529,-2.2581626418618446,-0.03905398816436575
16,16,2.916428716802373,3.4613228934534983,0.4633178256712115,-2.107231242659719,-0.15381794258828094
17,17,3.09229650959225,3.5173558557975437,0.46225770334908844,-1.9526578639222931,-0.21202446442461045
18,18,3.2691235052200565,3.536539912556129,0.4603181971893206,-1.8813438605310404,-0.3879012319535695
19,19,3.455146637090866,3.7204626374161878,0.45909870373169315,-1.6043399346369789,-0.2438986915254873
20,20,3.638697177181307,3.6710108018088228,0.4568171118386777,-1.5695292854696485,-0.45631837860309293
21,21,3.814434431666308,3.5147450897000176,0.45436526863139515,-1.4260269728575898,-0.49036864145650433
22,22,3.9733285595969203,3.1778825586122483,0.4521186279917295,-1.2285672069549671,-0.44932812793312576
23,23,4.105733113838494,2.6480910848314685,0.449920608867486,-1.0875184089831116,-0.4396038248486991
24,24,4.211174247893899,2.108822681108094,0.4476082759342252,-1.0027010958758058,-0.4624665866521652
25,25,4.303017965890303,1.836874359928085,0.4458260436969313,-0.8240361040156808,-0.3564464474587791
26,26,4.385935692582917,1.6583545338522798,0.44361361272125444,-0.8098583403024652,-0.4424861951353763
27,27,4.459125446068108,1.4637950697038136,0.44081726850868014,-0.8536561921397998,-0.5592688425148569
28,28,4.52618920923917,1.3412752634212237,0.438151188324095,-0.7581301327863361,-0.533216036917032
29,29,4.587968205666432,1.235579928545261,0.435469619197406,-0.6996643135820253,-0.5363138253377938
30,30,4.645546218369268,1.1515602540567074,0.43284495925408656,-0.6300073743533544,-0.5249319886638862
31,31,4.6994844311026975,1.0787642546685985,0.4302494434996889,-0.5699836501503586,-0.5191031508795301
32,32,4.747521839786549,0.9607481736770254,0.42742599315969815,-0.5713530331092085,-0.5646900679981517
33,33,4.793521874518298,0.9200006946349948,0.42496226004671,-0.4492773595630703,-0.49274662259762697
34,34,4.8317976782808785,0.7655160752516046,0.4219568941771884,-0.5294912821065333,-0.601073173904319
35,35,4.86357659815433,0.6355783974690236,0.41906674173229624,-0.47054264803430945,-0.5780304889784268
36,36,4.8864621941835615,0.4577119205846436,0.41595161780964435,-0.5016976879555598,-0.6230247845303759
37,37,4.904122607956752,0.3532082754638084,0.4131834281656815,-0.4023923482409723,-0.5536379287925675
38,38,4.9192232934571445,0.3020137100078599,0.4106678883367865,-0.3338943317731281,-0.5031079657789892
39,39,4.9361771276898905,0.3390766846549282,0.40856869409061036,-0.24008753163727656,-0.4198388492352358
40,40,4.949716809582633,0.27079363785486127,0.40597931400666326,-0.31847875918304636,-0.517876016789424
41,41,4.958903442537998,0.1837326591072777,0.4033051999295648,-0.32713200135544357,-0.5348228154196876
42,42,4.970024027157334,0.2224116923867274,0.40122047422921947,-0.20381922266988658,-0.4169451400690747
43,43,4.975732065436549,0.11416076558431741,0.39845510034295906,-0.3301596437958974,-0.553074777252088
44,44,4.978134980534046,0.04805830194992629,0.39588887768774567,-0.2852849681111716,-0.513244531042677
45,45,4.976340468202415,-0.03589024663261475,0.39324344178953685,-0.30359277545886004,-0.5290871796417629
46,46,4.974596039502758,-0.03488857399312861,0.39099483548536307,-0.22765317294404322,-0.4497212608347549
47,47,4.972442948291651,-0.04306182422216549,0.38870754358159376,-0.23682522183029484,-0.457458380753862
48,48,4.965849550406347,-0.13186795770607812,0.3860520401924562,-0.3162183795824993,-0.5311006778275151
49,49,4.95954203888074,-0.12615023051212,0.3838356031020802,-0.23696169614304138,-0.4432874180752051
50,50,4.9546047870946035,-0.09874503572274217,0.3817228102595027,-0.22395095673126497,-0.42255856851549994
51,51,4.952108393218111,-0.04992787752983757,0.3797122478432786,-0.20958605596320573,-0.4021124832448218
52,52,4.94798120862312,-0.0825436918998268,0.37733221468193345,-0.2786011053409865,-0.4760066322690331
53,53,4.94476076013903,-0.06440896968179988,0.37518817839229845,-0.2391149043118406,-0.42880725792699803
54,54,4.942607777534195,-0.043059652096714016,0.37306262709379545,-0.23811095536851654,-0.42511025970059996
55,55,4.939333755391594,-0.06548044285201644,0.37074113925186836,-0.2762384766170145,-0.4642975683854145
56,56,4.937653474863246,-0.03360561056697327,0.3686706583694327,-0.23382216851802173,-0.4140961764871386
57,57,4.939056885236267,0.02806820746043258,0.3667394730468219,-0.21012218477442604,-0.3862370645221576
58,58,4.940771181871953,0.03428593271370646,0.3645600782985535,-0.2492192768792425,-0.43587894965368007
59,59,4.938659486845707,-0.04223390052490844,0.36200914429304804,-0.32163108517205885,-0.5101868011010928
60,60,4.939667767426288,0.020165611611604795,0.3600904459670682,-0.20758836321842686,-0.38373966519596947
61,61,4.940328300928957,0.01321067005338843,0.3578619664365304,-0.25831653979208025,-0.4456959061075585
62,62,4.942255912854443,0.03855223850970427,0.35578270742875545,-0.23067680800208606,-0.4158518015549879
63,63,4.9416955743213675,-0.011206770661505529,0.35336868118430725,-0.2914053340340199,-0.4828052488896402
64,64,4.943311447146805,0.03231745650875477,0.3513776088324337,-0.21526331726900724,-0.3982144703747123
65,65,4.93799428084475,-0.10634332604111095,0.34857234927938235,-0.37678496555468455,-0.56105191061027
66,66,4.931927802643903,-0.12132956401692972,0.3463247406459872,-0.27014198011259877,-0.4495217266790361
67,67,4.9279315803390915,-0.07992444609623406,0.34433321334022776,-0.23071566004432242,-0.3983054611518827
68,68,4.930732452721063,0.05601744763943625,0.3427680414718396,-0.16725806638268323,-0.31303437367763054
69,69,4.934151411304018,0.06837917165909727,0.34065518545821744,-0.24441501006795047,-0.42257120272442705
70,70,4.933721634105785,-0.008595543964664623,0.3381478258665356,-0.31775245077417563,-0.5014719183363717
71,71,4.93270579092313,-0.020316863653098566,0.3359339364656728,-0.26334646024696523,-0.44277788017254793
72,72,4.9332099155652145,0.010082492841690334,0.3339105412591501,-0.23055521090594897,-0.4046790413045423
73,73,4.937278122051877,0.08136412973325358,0.3320719422238425,-0.1979397344534864,-0.36771980706152274
74,74,4.943499721697967,0.12443199292181073,0.33011193781874154,-0.210164969022639,-0.3920008810201914
75,75,4.952819992398523,0.18640541401111432,0.3282388101871044,-0.1875242925775836,-0.37462552632743384
76,76,4.958191526157118,0.10743067517189862,0.3257469244237277,-0.2901882601516556,-0.49837715267533456
77,77,4.9634360394349315,0.10489026555627642,0.3235947594134965,-0.22183652981560922,-0.43043300204624263
78,78,4.966128077973548,0.05384077077233368,0.3212325305474852,-0.2570769306431415,-0.4724457732022686
79,79,4.961264500077697,-0.09727155791701303,0.31843458954565285,-0.35187445391168554,-0.5595882003664685
80,80,4.958705681547539,-0.05117637060316527,0.3165038489798574,-0.19040468374878575,-0.38614811315908976
81,81,4.955167903262172,-0.07075556570734763,0.31428951469909333,-0.2409631490165085,-0.44286685615281773
82,82,4.951659190047707,-0.07017426428931546,0.31216676436839375,-0.22858356861170068,-0.4245500661399164
83,83,4.9429979612873,-0.17322457520814422,0.30959595248075045,-0.32136498917861966,-0.5141623775286551
84,84,4.94100968362949,-0.039765553156189876,0.30805806997471075,-0.153593620465825,-0.30757650120793545
85,85,4.941651117558013,0.012828678570459003,0.30617264183651444,-0.20054245301408422,-0.37708562763926384
86,86,4.945354333061085,0.07406431006143625,0.3043282914736828,-0.19071079737400523,-0.3688700725663315
87,87,4.946047644699032,0.013866232758937072,0.30196112721026686,-0.27809102130070434,-0.4734328526831829
88,88,4.944471433816235,-0.03152421765592829,0.29966126063656096,-0.26710401645775794,-0.4599733147411852
89,89,4.943563622532027,-0.018156225684164265,0.29761847992977997,-0.22335449810783645,-0.4085561413561953
90,90,4.946060465196384,0.04993685328713757,0.2958151814967592,-0.1840149443450172,-0.3606596866041462
91,91,4.952248712244265,0.12376494095763119,0.2940401088680703,-0.17378660124056217,-0.35501452573778935
92,92,4.958222786972368,0.11948149456205868,0.29193249533509746,-0.21945860520244181,-0.4215227065945678
93,93,4.9637898498802535,0.1113412581577131,0.28981143148756133,-0.21616662393273844,-0.4242127695072273
94,94,4.9656861668473224,0.03792633934137886,0.2874138261317137,-0.26425429084825647,-0.4795210711695357
95,95,4.969833921769867,0.08295509845088499,0.28552597944122216,-0.17272468330212118,-0.3775693380982998
96,96,4.9718548121632775,0.040417807868209574,0.2832674657269585,-0.232180555737406,-0.45170274285273443
